Variedad,Proceso,Estado ,AcGalico,AcCafeico
Geisha,Proceso,Tostado,0.0271,0.1872
Geisha,Proceso,Tostado,0.0270,0.1886
Geisha,Proceso,Tostado,0.0264,0.1839
Geisha,Proceso,Tostado,0.0234,0.1766
Geisha,Proceso,Tostado,0.0230,0.1741
Geisha,Proceso,Tostado,0.0232,0.1696
Geisha,Proceso,Tostado,0.0221,0.2033
Geisha,Proceso,Tostado,0.0261,0.2033
Geisha,Proceso,Tostado,0.0259,0.2035
Geisha,Proceso,Tostado,0.0251,0.1541
Geisha,Proceso,Tostado,0.0259,0.1559
Geisha,Proceso,Tostado,0.0256,0.1546
Geisha,Proceso,Tostado,0.0287,0.1745
Geisha,Proceso,Tostado,0.0293,0.1733
Geisha,Proceso,Tostado,0.0287,0.1712
Geisha,Proceso,Tostado,0.0267,0.1499
Geisha,Proceso,Tostado,0.0263,0.1506
Geisha,Proceso,Tostado,0.0268,0.1521
Geisha,Proceso,Tostado,0.0265,0.1812
